Live Base Allegiance Positions: Global Coordinates
name,label,region,iconType,team,global_x,global_y
Abandoned Ward,Abandoned Ward,DeadLandsHex,58,COLONIALS,5812.628607,3093.633824
Acies Overlook,Acies Overlook,StemaLandingHex,45,WARDENS,2859.351130,3765.745959
Adripio,Adripio,WrestaHex,58,COLONIALS,9111.270351,4077.794476
Aegocerus Fortress,Aegocerus Fortress,PipersEnclaveHex,45,COLONIALS,10651.787775,4231.395015
Aetherwood,Aetherwood,LykosIsleHex,57,COLONIALS,9859.699543,2923.986083
Alchimio Estate,Alchimio Estate,StemaLandingHex,58,WARDENS,2703.208671,4257.422380
Allsight,Allsight,MorgensCrossingHex,58,WARDENS,8270.075285,1488.551088
Amethyst,Amethyst,UmbralWildwoodHex,58,COLONIALS,6186.961740,3907.074884
Arcadia,Arcadia,FishermansRowHex,58,WARDENS,2714.186117,3296.346615
Argan Isle,Argan Isle,WrestaHex,45,COLONIALS,8741.311220,3992.497251
Argosa,Argosa,GodcroftsHex,45,COLONIALS,9182.353019,2161.517044
Arise,Arise,OriginHex,45,COLONIALS,3535.789150,4370.332453
Ashtown,Ashtown,AshFieldsHex,58,COLONIALS,4365.136109,4927.437739
Astutia,Astutia,LykosIsleHex,45,COLONIALS,9937.301122,2434.271853
Atropos' Fate,Atropos' Fate,UmbralWildwoodHex,45,COLONIALS,5957.586551,4230.333996
Azmar,Azmar,TyrantFoothillsHex,58,COLONIALS,9584.554679,4735.582231
Baccae Ridge,Baccae Ridge,KalokaiHex,58,COLONIALS,5841.364967,5955.366509
Bandolier Base,Bandolier Base,TyrantFoothillsHex,45,COLONIALS,9485.543540,4434.605736
Barronhome,Barronhome,SableportHex,58,COLONIALS,4487.404311,4152.980335
Barronswall,Barronswall,HeartlandsHex,45,COLONIALS,5018.980413,4364.094988
Barrony Ranch,Barrony Ranch,HeartlandsHex,45,COLONIALS,5001.302065,4122.049355
Base Ferveret,Base Ferveret,StemaLandingHex,45,WARDENS,2949.994865,4113.262680
Base Sagitta,Base Sagitta,StemaLandingHex,45,WARDENS,3123.051098,4042.713569
Basinhome,Basinhome,BasinSionnachHex,45,WARDENS,5749.353851,678.428959
Bastard's Block,Bastard's Block,MorgensCrossingHex,45,WARDENS,8295.956644,1647.188316
Beholder's Span,Beholder's Span,OnyxHex,45,COLONIALS,9029.167561,4719.194659
Belaying Trace,Belaying Trace,AllodsBightHex,45,COLONIALS,7185.000173,4049.968459
Bewailing Fort,Bewailing Fort,ClahstraHex,45,WARDENS,7128.811564,3087.618580
Black Well,Black Well,FishermansRowHex,58,WARDENS,2711.584243,2948.668267
Blackcoat Way,Blackcoat Way,NevishLineHex,58,WARDENS,3438.481735,1935.449106
Blackthroat,Blackthroat,ViperPitHex,58,WARDENS,6547.137032,2044.570641
Blackwatch,Blackwatch,TempestIslandHex,45,WARDENS,9289.572180,3034.927356
Blinding Stones,Blinding Stones,NevishLineHex,45,WARDENS,3481.639664,1536.562757
Bloody Palm Fort,Bloody Palm Fort,TerminusHex,45,COLONIALS,7719.511702,4907.077813
Bootnap,Bootnap,DrownedValeHex,58,COLONIALS,6944.862199,3599.528935
Borderlane,Borderlane,MooringCountyHex,45,WARDENS,5254.843961,1427.690673
Brackish Point,Brackish Point,EndlessShoreHex,58,WARDENS,8036.250662,3278.790987
Breaker Town,Breaker Town,StlicanShelfHex,58,WARDENS,8058.473010,2612.521520
Breakwater,Breakwater,ReaversPassHex,58,COLONIALS,8406.058758,4444.264335
Briar,Briar,StlicanShelfHex,45,WARDENS,8030.787549,2430.798490
Brine Glen,Brine Glen,DeadLandsHex,58,COLONIALS,6100.202672,3280.732246
Brodytown,Brodytown,ReachingTrailHex,58,WARDENS,5839.135818,1188.811829
Buckler Sound,Buckler Sound,StonecradleHex,58,WARDENS,4363.772891,2231.090828
Callahan's Boot,Callahan's Boot,DeadLandsHex,58,COLONIALS,5932.923895,3107.106360
Callahan's Gate,Callahan's Gate,DeadLandsHex,58,COLONIALS,5996.975924,2805.435711
Callum's Descent,Callum's Descent,MorgensCrossingHex,45,WARDENS,8042.002267,2005.188815
Callum's Keep,Callum's Keep,CallumsCapeHex,58,WARDENS,4256.232387,1115.500184
Camp Hollow,Camp Hollow,CallumsCapeHex,45,WARDENS,4589.944207,1155.156247
Camp Omega,Camp Omega,AshFieldsHex,45,COLONIALS,4547.188302,4578.612542
Camp Omicron,Camp Omicron,AcrithiaHex,45,COLONIALS,6857.011581,5020.019021
Camp Senti,Camp Senti,GreatMarchHex,45,COLONIALS,5766.385367,4770.522933
Camp Surista,Camp Surista,PariPeakHex,45,WARDENS,2101.442879,2012.812522
Camp Tau,Camp Tau,KalokaiHex,45,COLONIALS,6064.424320,5850.021886
Camp Upsilon,Camp Upsilon,RedRiverHex,45,COLONIALS,4899.146094,5141.050141
Cannonsmoke,Cannonsmoke,RedRiverHex,58,COLONIALS,5065.183436,5446.517425
Cerberus Wake,Cerberus Wake,TerminusHex,45,COLONIALS,7199.522308,5072.655916
Checkpoint Bua,Checkpoint Bua,MarbanHollow,45,WARDENS,6784.980983,2588.177575
Cinderwick,Cinderwick,SableportHex,58,COLONIALS,4322.728764,3823.303855
Cisterna Run,Cisterna Run,OnyxHex,45,COLONIALS,9186.718994,4728.384103
Clay Coffer,Clay Coffer,ReaversPassHex,45,COLONIALS,8342.549189,4683.754558
Climb,Climb,RedRiverHex,45,COLONIALS,5319.177945,5035.981618
Clotho's Refuge,Clotho's Refuge,UmbralWildwoodHex,45,COLONIALS,5998.166364,3851.713533
Coaldrifter Stead,Coaldrifter Stead,DrownedValeHex,58,COLONIALS,6781.682987,3802.892795
Cometa,Cometa,AshFieldsHex,45,COLONIALS,4144.086741,4660.524677
Cragstown,Cragstown,CallahansPassageHex,58,WARDENS,5920.305996,1931.577174
Crow's Nest,Crow's Nest,WeatheredExpanseHex,58,WARDENS,7209.004833,2239.818028
Crumbling Post,Crumbling Post,CallahansPassageHex,58,COLONIALS,5757.793079,2428.083307
Cuttail Station,Cuttail Station,BasinSionnachHex,58,WARDENS,5998.305660,297.153589
Cyrus,Cyrus,LykosIsleHex,58,COLONIALS,9518.966551,2674.584746
Dankana Post,Dankana Post,FishermansRowHex,45,WARDENS,2613.096034,3193.823854
Deeplaw Post,Deeplaw Post,HeartlandsHex,58,COLONIALS,4877.057992,4385.927991
Den of Knaves,Den of Knaves,KingsCageHex,45,WARDENS,4553.800978,2960.893444
Dendró Field,Dendró Field,GreatMarchHex,45,COLONIALS,6143.318753,4853.418834
Dexam,Dexam,OnyxHex,58,COLONIALS,9030.261268,5141.616114
Dormio,Dormio,OriginHex,45,COLONIALS,3875.935867,4514.080626
Dryfeld,Dryfeld,PalantineBermHex,45,WARDENS,1843.018616,2562.675392
Duelist's Scarp,Duelist's Scarp,TyrantFoothillsHex,45,COLONIALS,9626.164826,4206.408253
Dwyerstown,Dwyerstown,ReachingTrailHex,58,WARDENS,5560.253609,1220.557490
Earl Crowley,Earl Crowley,ViperPitHex,58,WARDENS,6954.344536,1786.809328
East Narthex,East Narthex,ClahstraHex,58,WARDENS,7610.522476,3299.453759
Eastknife,Eastknife,KingsCageHex,45,WARDENS,4529.263563,3147.842894
Eastmarch,Eastmarch,DrownedValeHex,45,COLONIALS,6405.069465,3565.666107
Eidolo,Eidolo,FishermansRowHex,58,WARDENS,2781.631226,3129.859971
Electi,Electi,AshFieldsHex,58,COLONIALS,4316.275007,4584.880226
Elksford,Elksford,ReachingTrailHex,58,WARDENS,5726.573217,1328.935599
Enduring Wake,Enduring Wake,EndlessShoreHex,56,COLONIALS,7915.751432,3646.672348
Erebus Islet,Erebus Islet,LykosIsleHex,45,COLONIALS,9764.218482,2742.097781
Eversus,Eversus,MorgensCrossingHex,45,WARDENS,8059.573906,1465.641626
Exile,Exile,GodcroftsHex,45,WARDENS,8903.154290,2410.073865
Faden Point,Faden Point,KuuraStrandHex,58,WARDENS,2687.501955,1088.342203
Fading Lights,Fading Lights,StonecradleHex,58,WARDENS,4570.905816,2374.984665
Fallen Crown,Fallen Crown,ClansheadValleyHex,45,WARDENS,7223.154912,1281.721161
Feirmor,Feirmor,LochMorHex,58,COLONIALS,5106.831135,3488.701972
Finis,Finis,OriginHex,58,COLONIALS,3414.286219,4473.368372
Firstmarch,Firstmarch,ShackledChasmHex,45,COLONIALS,6977.849668,4349.107931
Fleck Crossing,Fleck Crossing,ViperPitHex,45,WARDENS,6687.138288,1809.902043
